experiment_set,experiment_id,model_name,learning_rate,batch_size,augmentation,img_size,dice
Learning Rate Experiments,2,deeplab,5e-05,4,False,192,0.064231276512146
Learning Rate Experiments,4,segformer,0.0001,4,False,192,0.0532241351902484
Learning Rate Experiments,6,lraspp,0.0005,4,False,192,0.0484318435192108
Batch Size Experiments,11,deeplab,5e-05,16,False,192,0.0641268938779831
Batch Size Experiments,12,segformer,0.0001,4,False,192,0.0548015907406806
Batch Size Experiments,17,lraspp,0.0005,16,False,192,0.0511750355362892
Augmentation Experiments,18,deeplab,5e-05,16,True,192,0.0281684715300798
Augmentation Experiments,19,segformer,0.0001,4,True,192,0.0207007937133312
Augmentation Experiments,20,lraspp,0.0005,16,True,192,0.0215620510280132
Resolution Experiments,21,deeplab,5e-05,16,False,384,0.0774722844362258
Resolution Experiments,22,segformer,0.0001,4,False,384,0.0617230013012886
Resolution Experiments,23,lraspp,0.0005,16,False,384,0.0647593364119529
